Provincia                 | Sector                    | 1_P  | 2_P  | 3_P  | 4_P  | 5_P  | 6_P  | 1_NP | 2_NP | 3_NP | 4_NP | 5_NP | 6_NP | Egresados | Anio
Buenos Aires             | Estatal                   | 59   | 54   | 63   | 60   | 40   | 0    | 8    | 9    | 7    | 2    | 12   | 0    | 43        | 2019

Buenos Aires             | Estatal                   | 8    | 12   | 6    | 4    | 4    | 0    | 8    | 3    | 1    | 0    | 0    | 0    | 0         | 2019

Buenos Aires             | Estatal                   | 230  | 209  | 171  | 153  | 114  | 35   | 107  | 77   | 73   | 17   | 69   | 10   | 160       | 2019

Buenos Aires             | Privado                   | 186  | 173  | 120  | 130  | 117  | 0    | 33   | 24   | 47   | 6    | 81   | 0    | 183       | 2019

Buenos Aires             | Estatal                   | 28   | 32   | 18   | 2    | 5    | 0    | 5    | 3    | 1    | 0    | 1    | 0    | 5         | 2019

Buenos Aires             | Estatal                   | 27   | 61   | 41   | 28   | 20   | 0    | 31   | 15   | 13   | 6    | 0    | 0    | 59        | 2019

Buenos Aires             | Estatal                   | 10   | 7    | 4    | 3    | 6    | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 6         | 2019

Buenos Aires             | Estatal                   | 86   | 95   | 76   | 58   | 53   | 0    | 25   | 25   | 8    | 7    | 8    | 0    | 73        | 2019

Buenos Aires             | Privado                   | 65   | 65   | 54   | 41   | 39   | 0    | 1    | 5    | 3    | 2    | 2    | 0    | 64        | 2019

Buenos Aires             | Estatal                   | 23   | 21   | 14   | 18   | 6    | 0    | 3    | 3    | 14   | 0    | 10   | 0    | 9         | 2019

Buenos Aires             | Estatal                   | 104  | 78   | 92   | 72   | 75   | 4    | 49   | 42   | 27   | 20   | 37   | 2    | 79        | 2019

Buenos Aires             | Estatal                   | 43   | 34   | 42   | 28   | 28   | 5    | 2    | 1    | 5    | 0    | 5    | 0    | 40        | 2019

Buenos Aires             | Estatal                   | 1    | 1    | 4    | 2    | 1    | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 1         | 2019

Buenos Aires             | Estatal                   | 216  | 195  | 165  | 148  | 138  | 35   | 108  | 68   | 68   | 28   | 60   | 0    | 208       | 2019

Buenos Aires             | Privado                   | 64   | 52   | 52   | 29   | 34   | 0    | 2    | 1    | 1    | 2    | 0    | 0    | 58        | 2019

Buenos Aires             | Estatal                   | 22   | 29   | 15   | 26   | 14   | 3    | 5    | 9    | 2    | 0    | 10   | 0    | 25        | 2019

Buenos Aires             | Estatal                   | 98   | 90   | 98   | 77   | 77   | 5    | 38   | 23   | 15   | 11   | 14   | 0    | 83        | 2019

Buenos Aires             | Estatal                   | 33   | 18   | 22   | 9    | 8    | 0    | 3    | 1    | 3    | 4    | 0    | 0    | 22        | 2019

Buenos Aires             | Estatal                   | 137  | 112  | 69   | 76   | 89   | 34   | 68   | 46   | 45   | 27   | 1    | 0    | 96        | 2019

Buenos Aires             | Estatal                   | 55   | 37   | 30   | 48   | 31   | 0    | 38   | 16   | 21   | 10   | 2    | 0    | 53        | 2019

Buenos Aires             | Estatal                   | 27   | 17   | 27   | 17   | 21   | 0    | 10   | 5    | 4    | 3    | 0    | 0    | 23        | 2019

Buenos Aires             | Estatal                   | 38   | 15   | 22   | 17   | 15   | 6    | 30   | 26   | 8    | 4    | 1    | 0    | 12        | 2019

Buenos Aires             | Estatal                   | 44   | 35   | 31   | 25   | 26   | 0    | 10   | 7    | 8    | 3    | 3    | 0    | 36        | 2019

Buenos Aires             | Estatal                   | 61   | 55   | 42   | 36   | 31   | 8    | 16   | 14   | 8    | 6    | 6    | 0    | 50        | 2019

Buenos Aires             | Estatal                   | 118  | 91   | 93   | 77   | 61   | 0    | 80   | 47   | 30   | 24   | 31   | 0    | 77        | 2019

Buenos Aires             | Estatal                   | 3022 | 2816 | 2388 | 2152 | 1976 | 217  | 1676 | 1126 | 1027 | 511  | 924  | 173  | 2580      | 2019

Buenos Aires             | Privado                   | 2720 | 2578 | 2294 | 2109 | 1837 | 40   | 261  | 222  | 189  | 106  | 490  | 4    | 2581      | 2019

Buenos Aires             | Estatal                   | 43   | 46   | 18   | 12   | 6    | 0    | 15   | 9    | 2    | 0    | 0    | 0    | 13        | 2019

Buenos Aires             | Estatal                   | 1108 | 864  | 698  | 532  | 387  | 0    | 431  | 289  | 195  | 125  | 143  | 0    | 519       | 2019

Buenos Aires             | Privado                   | 257  | 255  | 221  | 156  | 135  | 0    | 82   | 32   | 56   | 32   | 76   | 0    | 249       | 2019

Buenos Aires             | Estatal                   | 1363 | 1149 | 1109 | 1004 | 837  | 111  | 861  | 611  | 571  | 296  | 363  | 49   | 1208      | 2019

Buenos Aires             | Privado                   | 1500 | 1420 | 1237 | 1149 | 986  | 60   | 227  | 145  | 210  | 98   | 381  | 42   | 1748      | 2019

Buenos Aires             | Estatal                   | 17   | 15   | 12   | 11   | 8    | 5    | 5    | 6    | 2    | 1    | 4    | 3    | 17        | 2019

Buenos Aires             | Estatal                   | 115  | 92   | 83   | 65   | 51   | 10   | 35   | 30   | 19   | 5    | 22   | 7    | 82        | 2019

Buenos Aires             | Estatal                   | 64   | 86   | 64   | 61   | 59   | 5    | 12   | 13   | 10   | 1    | 9    | 0    | 81        | 2019

Buenos Aires             | Estatal                   | 208  | 128  | 90   | 71   | 92   | 7    | 115  | 101  | 62   | 32   | 63   | 0    | 132       | 2019

Buenos Aires             | Estatal                   | 43   | 37   | 29   | 28   | 27   | 3    | 5    | 2    | 1    | 3    | 3    | 0    | 37        | 2019

Buenos Aires             | Estatal                   | 75   | 94   | 73   | 82   | 71   | 0    | 13   | 13   | 5    | 5    | 6    | 0    | 79        | 2019

Buenos Aires             | Estatal                   | 7    | 12   | 6    | 7    | 4    | 2    | 6    | 3    | 0    | 0    | 0    | 0    | 7         | 2019

Buenos Aires             | Estatal                   | 61   | 64   | 50   | 46   | 44   | 0    | 27   | 6    | 5    | 0    | 0    | 0    | 49        | 2019

Buenos Aires             | Estatal                   | 915  | 668  | 632  | 548  | 385  | 71   | 384  | 296  | 318  | 239  | 385  | 51   | 603       | 2019

Buenos Aires             | Privado                   | 608  | 560  | 507  | 524  | 465  | 32   | 70   | 67   | 53   | 44   | 111  | 10   | 654       | 2019

Buenos Aires             | Estatal                   | 924  | 794  | 746  | 680  | 427  | 0    | 364  | 270  | 275  | 214  | 292  | 26   | 579       | 2019

Buenos Aires             | Privado                   | 767  | 638  | 562  | 546  | 485  | 21   | 74   | 53   | 65   | 28   | 118  | 0    | 695       | 2019

Buenos Aires             | Estatal                   | 1804 | 1485 | 1541 | 1206 | 965  | 106  | 1036 | 695  | 648  | 421  | 571  | 31   | 1376      | 2019

Buenos Aires             | Privado                   | 911  | 822  | 666  | 626  | 463  | 0    | 190  | 174  | 147  | 107  | 388  | 0    | 700       | 2019

Buenos Aires             | Estatal                   | 34   | 30   | 31   | 23   | 31   | 0    | 1    | 3    | 3    | 0    | 4    | 0    | 35        | 2019

Buenos Aires             | Estatal                   | 581  | 394  | 401  | 366  | 339  | 40   | 274  | 201  | 184  | 116  | 139  | 3    | 470       | 2019

Buenos Aires             | Privado                   | 327  | 312  | 271  | 262  | 247  | 0    | 15   | 12   | 9    | 14   | 27   | 0    | 273       | 2019

Buenos Aires             | Estatal                   | 618  | 565  | 437  | 395  | 419  | 71   | 309  | 238  | 215  | 119  | 202  | 0    | 650       | 2019

Buenos Aires             | Privado                   | 173  | 174  | 134  | 114  | 253  | 0    | 11   | 3    | 10   | 7    | 39   | 0    | 460       | 2019

Buenos Aires             | Estatal                   | 9812 | 8661 | 7630 | 6452 | 5215 | 356  | 4367 | 2873 | 2712 | 1772 | 2826 | 124  | 7417      | 2019

Buenos Aires             | Privado                   | 4874 | 4564 | 3916 | 3696 | 3281 | 118  | 676  | 438  | 460  | 339  | 1266 | 8    | 4559      | 2019

Buenos Aires             | Estatal                   | 27   | 24   | 23   | 18   | 9    | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 9         | 2019

Buenos Aires             | Estatal                   | 3815 | 3251 | 3203 | 2621 | 2563 | 314  | 1644 | 988  | 966  | 574  | 685  | 46   | 3495      | 2019

Buenos Aires             | Privado                   | 2307 | 2141 | 1869 | 1723 | 1727 | 17   | 233  | 144  | 181  | 117  | 355  | 9    | 2303      | 2019

Buenos Aires             | Estatal                   | 2239 | 2011 | 1658 | 1366 | 1186 | 159  | 1193 | 825  | 858  | 590  | 839  | 127  | 1894      | 2019

Buenos Aires             | Privado                   | 1620 | 1502 | 1261 | 1181 | 1075 | 19   | 215  | 193  | 186  | 134  | 431  | 7    | 1642      | 2019

Buenos Aires             | Estatal                   | 6    | 9    | 2    | 5    | 5    | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 5         | 2019

Buenos Aires             | Estatal                   | 98   | 86   | 88   | 71   | 42   | 10   | 65   | 40   | 20   | 9    | 12   | 3    | 74        | 2019

Buenos Aires             | Estatal                   | 26   | 23   | 9    | 8    | 2    | 8    | 31   | 10   | 3    | 3    | 6    | 1    | 13        | 2019

Buenos Aires             | Estatal                   | 156  | 155  | 113  | 100  | 125  | 15   | 101  | 63   | 40   | 9    | 13   | 0    | 137       | 2019

Buenos Aires             | Privado                   | 59   | 51   | 32   | 30   | 37   | 0    | 2    | 2    | 2    | 0    | 12   | 0    | 51        | 2019

Buenos Aires             | Estatal                   | 18   | 7    | 7    | 11   | 9    | 0    | 2    | 2    | 3    | 0    | 6    | 0    | 9         | 2019

Buenos Aires             | Estatal                   | 111  | 86   | 75   | 64   | 62   | 3    | 83   | 30   | 22   | 18   | 26   | 2    | 81        | 2019

Buenos Aires             | Estatal                   | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 0         | 2019

Buenos Aires             | Estatal                   | 70   | 62   | 43   | 46   | 37   | 0    | 12   | 10   | 12   | 2    | 13   | 2    | 50        | 2019

Buenos Aires             | Estatal                   | 201  | 158  | 154  | 118  | 102  | 26   | 75   | 69   | 48   | 29   | 61   | 3    | 140       | 2019

Buenos Aires             | Privado                   | 185  | 135  | 119  | 123  | 92   | 0    | 19   | 13   | 14   | 3    | 6    | 0    | 150       | 2019

Buenos Aires             | Estatal                   | 81   | 62   | 53   | 58   | 41   | 10   | 25   | 24   | 5    | 8    | 5    | 0    | 57        | 2019

