
--- DATOS 2019 ---
Buenos Aires | Estatal | 2019 | 1 anio | 3 | 5 | 2 anio | 3 | 8 | 3 anio | 3 | 7 | 4 anio | 3 | 8 | 5 anio | 3 | 7 | 6 anio | 0 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 6 | 42 | 2 anio | 6 | 14 | 3 anio | 7 | 27 | 4 anio | 6 | 6 | 5 anio | 5 | 8 | 6 anio | 1 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 1 | 5 | 2 anio | 1 | 6 | 3 anio | 1 | 1 | 4 anio | 1 | 6 | 5 anio | 1 | 2 | 6 anio | 0 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 11 | 44 | 2 anio | 11 | 39 | 3 anio | 11 | 33 | 4 anio | 10 | 9 | 5 anio | 9 | 9 | 6 anio | 1 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 0 | 0 | 2 anio | 0 | 0 | 3 anio | 0 | 0 | 4 anio | 0 | 0 | 5 anio | 0 | 0 | 6 anio | 0 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 4 | 5 | 2 anio | 5 | 8 | 3 anio | 5 | 13 | 4 anio | 4 | 1 | 5 anio | 4 | 0 | 6 anio | 0 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 2 | 2 | 2 anio | 2 | 2 | 3 anio | 1 | 2 | 4 anio | 1 | 1 | 5 anio | 1 | 0 | 6 anio | 0 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 31 | 103 | 2 anio | 29 | 88 | 3 anio | 26 | 62 | 4 anio | 25 | 37 | 5 anio | 24 | 27 | 6 anio | 2 | 0

Buenos Aires | Privado | 2019 | 1 anio | 3 | 1 | 2 anio | 3 | 1 | 3 anio | 3 | 0 | 4 anio | 3 | 2 | 5 anio | 3 | 1 | 6 anio | 0 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 21 | 66 | 2 anio | 22 | 105 | 3 anio | 18 | 105 | 4 anio | 18 | 54 | 5 anio | 17 | 52 | 6 anio | 4 | 1

Buenos Aires | Privado | 2019 | 1 anio | 6 | 2 | 2 anio | 6 | 1 | 3 anio | 6 | 3 | 4 anio | 6 | 2 | 5 anio | 6 | 0 | 6 anio | 0 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 3 | 3 | 2 anio | 3 | 2 | 3 anio | 3 | 2 | 4 anio | 3 | 2 | 5 anio | 3 | 1 | 6 anio | 1 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 36 | 191 | 2 anio | 35 | 112 | 3 anio | 32 | 93 | 4 anio | 30 | 55 | 5 anio | 30 | 38 | 6 anio | 2 | 0

Buenos Aires | Privado | 2019 | 1 anio | 9 | 3 | 2 anio | 9 | 1 | 3 anio | 8 | 0 | 4 anio | 8 | 1 | 5 anio | 8 | 0 | 6 anio | 0 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 0 | 4 | 2 anio | 0 | 3 | 3 anio | 0 | 1 | 4 anio | 0 | 1 | 5 anio | 1 | 0 | 6 anio | 0 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 13 | 46 | 2 anio | 12 | 37 | 3 anio | 11 | 33 | 4 anio | 11 | 25 | 5 anio | 11 | 33 | 6 anio | 2 | 3

Buenos Aires | Privado | 2019 | 1 anio | 5 | 6 | 2 anio | 5 | 14 | 3 anio | 4 | 10 | 4 anio | 4 | 7 | 5 anio | 4 | 4 | 6 anio | 0 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 4 | 14 | 2 anio | 4 | 3 | 3 anio | 3 | 2 | 4 anio | 3 | 3 | 5 anio | 3 | 0 | 6 anio | 2 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 32 | 84 | 2 anio | 32 | 62 | 3 anio | 36 | 86 | 4 anio | 31 | 53 | 5 anio | 29 | 26 | 6 anio | 5 | 0

Buenos Aires | Privado | 2019 | 1 anio | 7 | 5 | 2 anio | 7 | 0 | 3 anio | 7 | 4 | 4 anio | 7 | 5 | 5 anio | 7 | 1 | 6 anio | 3 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 2 | 6 | 2 anio | 3 | 5 | 3 anio | 3 | 5 | 4 anio | 2 | 8 | 5 anio | 2 | 6 | 6 anio | 0 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 8 | 23 | 2 anio | 6 | 25 | 3 anio | 6 | 24 | 4 anio | 6 | 5 | 5 anio | 6 | 3 | 6 anio | 3 | 0

Buenos Aires | Privado | 2019 | 1 anio | 2 | 2 | 2 anio | 2 | 1 | 3 anio | 3 | 8 | 4 anio | 3 | 4 | 5 anio | 3 | 3 | 6 anio | 1 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 1 | 2 | 2 anio | 1 | 4 | 3 anio | 1 | 1 | 4 anio | 1 | 1 | 5 anio | 1 | 1 | 6 anio | 1 | 1

Buenos Aires | Estatal | 2019 | 1 anio | 10 | 19 | 2 anio | 10 | 16 | 3 anio | 11 | 22 | 4 anio | 10 | 18 | 5 anio | 10 | 8 | 6 anio | 2 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 3 | 11 | 2 anio | 2 | 4 | 3 anio | 5 | 8 | 4 anio | 4 | 1 | 5 anio | 4 | 1 | 6 anio | 0 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 25 | 60 | 2 anio | 21 | 62 | 3 anio | 21 | 36 | 4 anio | 19 | 30 | 5 anio | 17 | 39 | 6 anio | 3 | 0

Buenos Aires | Privado | 2019 | 1 anio | 6 | 8 | 2 anio | 6 | 7 | 3 anio | 6 | 9 | 4 anio | 6 | 15 | 5 anio | 6 | 2 | 6 anio | 0 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 3 | 0 | 2 anio | 3 | 1 | 3 anio | 3 | 0 | 4 anio | 2 | 0 | 5 anio | 2 | 0 | 6 anio | 0 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 11 | 39 | 2 anio | 10 | 18 | 3 anio | 11 | 26 | 4 anio | 11 | 16 | 5 anio | 11 | 14 | 6 anio | 3 | 2

Buenos Aires | Estatal | 2019 | 1 anio | 2 | 3 | 2 anio | 2 | 2 | 3 anio | 1 | 4 | 4 anio | 1 | 2 | 5 anio | 1 | 0 | 6 anio | 1 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 15 | 41 | 2 anio | 14 | 19 | 3 anio | 16 | 27 | 4 anio | 15 | 21 | 5 anio | 15 | 3 | 6 anio | 2 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 4 | 15 | 2 anio | 4 | 8 | 3 anio | 4 | 7 | 4 anio | 3 | 3 | 5 anio | 3 | 2 | 6 anio | 0 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 9 | 40 | 2 anio | 8 | 30 | 3 anio | 11 | 26 | 4 anio | 9 | 12 | 5 anio | 8 | 4 | 6 anio | 0 | 0

Buenos Aires | Privado | 2019 | 1 anio | 35 | 68 | 2 anio | 35 | 48 | 3 anio | 34 | 32 | 4 anio | 34 | 37 | 5 anio | 34 | 33 | 6 anio | 9 | 1

Buenos Aires | Privado | 2019 | 1 anio | 70 | 77 | 2 anio | 67 | 86 | 3 anio | 64 | 72 | 4 anio | 60 | 47 | 5 anio | 60 | 38 | 6 anio | 2 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 41 | 116 | 2 anio | 32 | 88 | 3 anio | 30 | 80 | 4 anio | 28 | 51 | 5 anio | 25 | 30 | 6 anio | 6 | 8

Buenos Aires | Privado | 2019 | 1 anio | 7 | 9 | 2 anio | 7 | 15 | 3 anio | 7 | 14 | 4 anio | 7 | 19 | 5 anio | 7 | 7 | 6 anio | 2 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 128 | 688 | 2 anio | 117 | 561 | 3 anio | 109 | 378 | 4 anio | 98 | 264 | 5 anio | 90 | 141 | 6 anio | 21 | 23

Buenos Aires | Privado | 2019 | 1 anio | 64 | 106 | 2 anio | 61 | 105 | 3 anio | 53 | 104 | 4 anio | 47 | 79 | 5 anio | 47 | 85 | 6 anio | 1 | 4

Buenos Aires | Estatal | 2019 | 1 anio | 154 | 930 | 2 anio | 138 | 648 | 3 anio | 141 | 620 | 4 anio | 128 | 369 | 5 anio | 106 | 230 | 6 anio | 2 | 0

Buenos Aires | Privado | 2019 | 1 anio | 54 | 60 | 2 anio | 51 | 63 | 3 anio | 45 | 62 | 4 anio | 45 | 74 | 5 anio | 41 | 42 | 6 anio | 1 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 6 | 11 | 2 anio | 6 | 14 | 3 anio | 5 | 18 | 4 anio | 5 | 5 | 5 anio | 5 | 5 | 6 anio | 1 | 1

Buenos Aires | Estatal | 2019 | 1 anio | 11 | 86 | 2 anio | 11 | 58 | 3 anio | 9 | 52 | 4 anio | 8 | 27 | 5 anio | 8 | 13 | 6 anio | 2 | 0

Buenos Aires | Privado | 2019 | 1 anio | 8 | 17 | 2 anio | 8 | 4 | 3 anio | 7 | 12 | 4 anio | 6 | 5 | 5 anio | 6 | 1 | 6 anio | 0 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 92 | 541 | 2 anio | 89 | 394 | 3 anio | 74 | 368 | 4 anio | 72 | 184 | 5 anio | 62 | 85 | 6 anio | 4 | 3

Buenos Aires | Privado | 2019 | 1 anio | 32 | 29 | 2 anio | 30 | 23 | 3 anio | 24 | 31 | 4 anio | 23 | 27 | 5 anio | 22 | 29 | 6 anio | 2 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 5 | 34 | 2 anio | 5 | 31 | 3 anio | 3 | 20 | 4 anio | 3 | 9 | 5 anio | 3 | 1 | 6 anio | 1 | 3

Buenos Aires | Estatal | 2019 | 1 anio | 213 | 1187 | 2 anio | 195 | 892 | 3 anio | 184 | 804 | 4 anio | 167 | 426 | 5 anio | 149 | 208 | 6 anio | 10 | 0

Buenos Aires | Privado | 2019 | 1 anio | 66 | 117 | 2 anio | 63 | 133 | 3 anio | 59 | 118 | 4 anio | 56 | 105 | 5 anio | 58 | 76 | 6 anio | 2 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 2 | 2 | 2 anio | 2 | 2 | 3 anio | 2 | 2 | 4 anio | 1 | 1 | 5 anio | 1 | 0 | 6 anio | 1 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 6 | 11 | 2 anio | 4 | 9 | 3 anio | 4 | 7 | 4 anio | 4 | 5 | 5 anio | 4 | 2 | 6 anio | 0 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 1 | 5 | 2 anio | 1 | 4 | 3 anio | 1 | 1 | 4 anio | 1 | 0 | 5 anio | 1 | 0 | 6 anio | 0 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 16 | 96 | 2 anio | 16 | 63 | 3 anio | 16 | 57 | 4 anio | 15 | 21 | 5 anio | 13 | 25 | 6 anio | 5 | 6

Buenos Aires | Privado | 2019 | 1 anio | 11 | 29 | 2 anio | 11 | 13 | 3 anio | 10 | 21 | 4 anio | 10 | 16 | 5 anio | 9 | 9 | 6 anio | 0 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 2 | 1 | 2 anio | 2 | 4 | 3 anio | 1 | 1 | 4 anio | 1 | 1 | 5 anio | 1 | 0 | 6 anio | 0 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 4 | 17 | 2 anio | 5 | 19 | 3 anio | 5 | 25 | 4 anio | 5 | 20 | 5 anio | 4 | 16 | 6 anio | 0 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 1 | 0 | 2 anio | 1 | 0 | 3 anio | 1 | 0 | 4 anio | 1 | 0 | 5 anio | 1 | 0 | 6 anio | 0 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 7 | 21 | 2 anio | 7 | 15 | 3 anio | 8 | 8 | 4 anio | 5 | 9 | 5 anio | 5 | 4 | 6 anio | 0 | 0

Buenos Aires | Privado | 2019 | 1 anio | 3 | 2 | 2 anio | 3 | 6 | 3 anio | 3 | 3 | 4 anio | 3 | 4 | 5 anio | 3 | 5 | 6 anio | 0 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 2 | 2 | 2 anio | 2 | 4 | 3 anio | 2 | 3 | 4 anio | 2 | 1 | 5 anio | 2 | 0 | 6 anio | 0 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 9 | 54 | 2 anio | 9 | 30 | 3 anio | 9 | 33 | 4 anio | 8 | 17 | 5 anio | 7 | 4 | 6 anio | 1 | 2

Buenos Aires | Estatal | 2019 | 1 anio | 3 | 3 | 2 anio | 3 | 2 | 3 anio | 3 | 4 | 4 anio | 3 | 1 | 5 anio | 3 | 2 | 6 anio | 1 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 0 | 0 | 2 anio | 0 | 0 | 3 anio | 0 | 0 | 4 anio | 0 | 0 | 5 anio | 0 | 0 | 6 anio | 0 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 16 | 74 | 2 anio | 15 | 49 | 3 anio | 16 | 55 | 4 anio | 15 | 38 | 5 anio | 14 | 19 | 6 anio | 3 | 0

Buenos Aires | Privado | 2019 | 1 anio | 3 | 2 | 2 anio | 3 | 4 | 3 anio | 4 | 0 | 4 anio | 4 | 0 | 5 anio | 2 | 0 | 6 anio | 0 | 0

