provincia,sector,r_8,r_9,r_10,r_11,r_12,r_1314,_sec8,_sec9,_sec10,_sec11,_sec12,_sec1314
Buenos Aires,Estatal,2,2,4,1,1,0,1,1,1,1,1,0
Buenos Aires,Estatal,4,14,12,4,7,0,5,5,7,6,6,0
Buenos Aires,Estatal,588,476,452,240,132,0,130,124,113,104,97,6
Buenos Aires,Privado,126,114,73,58,63,0,82,80,72,70,69,0
Buenos Aires,Estatal,18,17,13,16,14,0,5,5,4,4,4,1
Buenos Aires,Estatal,28,29,31,20,9,0,10,10,11,10,8,1
Buenos Aires,Estatal,0,0,0,0,0,0,0,0,0,0,0,0
Buenos Aires,Estatal,224,152,120,83,45,18,39,34,32,27,23,5
Buenos Aires,Privado,9,6,1,4,1,0,7,7,7,7,7,0
Buenos Aires,Estatal,10,16,4,5,3,2,3,3,3,2,2,2
Buenos Aires,Estatal,163,155,108,59,12,2,30,31,25,23,22,4
Buenos Aires,Privado,1,14,2,4,1,0,13,13,12,12,12,0
Buenos Aires,Estatal,1528,1139,905,593,428,34,308,266,250,230,209,19
Buenos Aires,Privado,88,78,60,59,47,0,76,75,70,70,68,0
Buenos Aires,Estatal,3,5,1,1,0,0,1,1,1,1,1,0
Buenos Aires,Estatal,39,31,37,22,6,0,11,11,9,9,8,1
Buenos Aires,Privado,0,3,1,1,0,0,5,5,5,5,5,1
Buenos Aires,Estatal,16,8,12,4,0,0,7,7,7,7,7,2
Buenos Aires,Estatal,952,814,699,481,259,28,246,227,228,205,181,14
Buenos Aires,Privado,83,83,102,92,74,7,82,82,78,77,73,4
Buenos Aires,Estatal,605,478,489,287,210,9,143,133,147,139,129,17
Buenos Aires,Privado,98,109,113,109,89,4,86,85,84,80,80,4
Buenos Aires,Estatal,20,7,6,7,4,1,3,3,4,4,4,1
Buenos Aires,Estatal,35,14,10,2,2,0,7,7,7,7,6,2
Buenos Aires,Privado,6,5,7,8,1,0,4,3,3,3,3,0
Buenos Aires,Estatal,10,8,4,1,2,0,4,4,3,3,3,1
Buenos Aires,Estatal,350,209,237,86,58,2,62,50,51,42,37,8
Buenos Aires,Privado,6,13,10,8,3,0,15,15,13,12,12,0
Buenos Aires,Estatal,11,5,10,2,0,0,4,4,4,4,4,1
Buenos Aires,Estatal,159,136,178,101,33,5,55,49,56,53,48,7
Buenos Aires,Privado,20,21,25,11,19,0,21,21,20,18,17,0
Buenos Aires,Estatal,8,4,5,0,1,0,3,3,3,3,3,0
Buenos Aires,Estatal,72,81,58,30,14,3,20,18,21,20,19,2
Buenos Aires,Privado,1,3,9,1,0,0,4,4,4,4,4,0
Buenos Aires,Estatal,13,7,10,2,5,0,6,5,6,5,5,2
Buenos Aires,Estatal,72,55,37,16,3,5,25,22,23,23,20,3
Buenos Aires,Privado,1,2,0,1,0,0,3,3,4,4,4,0
Buenos Aires,Estatal,4,4,2,1,3,3,1,1,1,1,1,1
Buenos Aires,Estatal,14,7,20,9,5,0,4,3,6,5,3,0
Buenos Aires,Estatal,202,167,161,85,74,9,53,46,48,45,41,6
Buenos Aires,Privado,15,7,8,8,11,0,6,6,6,6,6,0
Buenos Aires,Privado,4,14,14,5,3,0,13,13,13,13,13,0
Buenos Aires,Estatal,0,0,0,0,0,0,0,0,0,0,0,0
Buenos Aires,Estatal,7,6,5,12,5,0,4,2,3,3,4,0
Buenos Aires,Estatal,455,437,542,365,210,7,133,123,113,106,97,11
Buenos Aires,Privado,60,62,88,57,45,0,104,102,99,95,94,0
Buenos Aires,Estatal,118,75,51,23,11,4,19,20,19,17,13,2
Buenos Aires,Privado,0,0,0,0,0,0,3,3,2,2,2,0
