provincia,sector,r_8,r_9,r_10,r_11,r_12,r_1314,_sec8,_sec9,_sec10,_sec11,_sec12,_sec1314
Buenos Aires,Estatal,4,3,1,0,0,0,2,2,2,2,2,0
Buenos Aires,Estatal,289,178,153,76,47,12,45,37,39,36,25,4
Buenos Aires,Privado,2,5,6,5,2,0,7,6,5,5,5,2
Buenos Aires,Estatal,10,10,7,1,3,0,1,1,1,1,1,0
Buenos Aires,Estatal,21,10,14,11,3,0,5,4,4,4,2,0
Buenos Aires,Privado,6,4,2,3,3,0,2,2,2,2,2,0
Buenos Aires,Estatal,18,16,15,6,2,0,10,9,8,8,7,3
Buenos Aires,Estatal,204,172,117,45,40,2,64,64,65,60,57,13
Buenos Aires,Privado,14,7,7,7,5,0,19,18,19,17,17,0
Buenos Aires,Estatal,1,0,0,0,0,0,0,0,0,0,0,0
Buenos Aires,Estatal,22,22,6,8,0,0,6,5,7,5,5,0
Buenos Aires,Estatal,6,2,1,2,0,0,3,3,2,2,2,0
Buenos Aires,Estatal,923,648,506,321,196,14,189,171,171,143,118,18
Buenos Aires,Privado,124,107,141,75,79,2,106,102,95,88,86,2
Buenos Aires,Estatal,6,4,4,2,2,0,2,2,2,2,2,0
Buenos Aires,Estatal,13,8,5,4,2,0,3,3,4,3,3,1
Buenos Aires,Estatal,31,24,21,7,5,1,8,8,8,6,6,2
Buenos Aires,Estatal,0,2,0,1,0,0,1,1,1,1,1,0
Buenos Aires,Estatal,87,52,35,25,13,0,29,25,23,18,16,2
Buenos Aires,Privado,10,14,13,6,4,0,7,7,7,6,6,0
Buenos Aires,Estatal,13,8,9,10,4,0,4,4,4,4,4,1
Buenos Aires,Estatal,110,80,63,34,29,2,27,26,25,24,20,3
Buenos Aires,Privado,8,11,7,7,7,0,9,8,7,8,8,0
Buenos Aires,Estatal,547,469,338,191,128,4,118,110,106,88,77,13
Buenos Aires,Privado,113,117,97,91,88,4,72,73,67,63,64,8
Buenos Aires,Estatal,2,2,2,1,1,1,2,2,1,1,1,1
Buenos Aires,Estatal,0,3,0,2,0,0,5,5,5,5,3,2
Buenos Aires,Estatal,234,178,179,125,35,2,59,53,50,48,46,6
Buenos Aires,Privado,83,92,87,70,67,3,95,94,94,92,91,3
Buenos Aires,Estatal,58,80,50,34,10,0,15,15,14,14,13,0
Buenos Aires,Privado,9,5,7,12,2,0,9,8,8,7,6,1
Buenos Aires,Estatal,22,29,11,4,6,0,4,5,4,4,4,0
Buenos Aires,Estatal,108,66,55,23,7,3,26,20,21,18,16,2
Buenos Aires,Estatal,16,10,6,6,3,1,3,3,2,2,3,1
Buenos Aires,Estatal,253,237,162,95,32,11,77,64,68,61,50,19
Buenos Aires,Privado,6,16,21,16,12,0,18,17,16,16,16,1
Catamarca,Estatal,7,5,0,2,0,0,4,4,4,4,4,0
Catamarca,Estatal,6,5,4,4,3,0,3,3,5,5,4,0
Catamarca,Estatal,25,12,3,5,0,0,6,6,7,7,8,0
Catamarca,Estatal,32,18,11,1,2,0,14,14,13,13,12,4
Catamarca,Estatal,0,0,0,0,0,0,2,3,2,2,2,0
Catamarca,Estatal,27,17,12,3,1,0,21,23,18,18,17,0
Catamarca,Estatal,34,39,23,12,3,0,13,11,14,13,12,3
Catamarca,Estatal,39,26,13,9,6,0,16,15,9,9,9,1
Catamarca,Estatal,17,22,7,5,0,0,4,3,5,4,4,0
Catamarca,Estatal,654,352,140,97,49,5,112,105,97,94,89,10
Catamarca,Privado,53,38,41,37,16,0,35,34,34,33,32,0
Catamarca,Estatal,23,16,8,5,9,0,6,6,8,8,9,0
Catamarca,Privado,16,18,18,13,7,0,16,16,17,17,17,0
Catamarca,Estatal,5,1,1,0,0,0,2,2,1,1,1,0
Catamarca,Estatal,24,18,14,4,2,0,11,11,7,8,8,2
Catamarca,Estatal,11,15,10,10,1,0,9,10,12,12,11,0
Catamarca,Estatal,56,27,21,21,1,0,14,13,12,13,13,3
Catamarca,Estatal,5,3,5,1,0,0,7,8,7,7,7,2
Catamarca,Estatal,4,10,3,5,1,0,9,10,6,6,6,0
Catamarca,Estatal,14,11,9,6,3,0,8,7,8,7,7,1
Catamarca,Estatal,36,26,4,2,2,0,16,16,8,8,10,0
